Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Floydada Storage Spot,Independent,Floydada Storage Spot,Floyd,North 5th Street,Floydada,TX,79235,33.9863819,-101.335965,,,,,,self-storage,C,15,No website found
West Texas Mini Storage,Chain,West Texas Mini Storage,Floyd,South Wall Street,Floydada,TX,79235,33.9834904,-101.3330553,,,,,,self-storage,C,0,No website found; Chain-managed
