Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Super Storage,Independent,Super Storage,Washington,FM 389,Brenham,TX,77833,30.1500354,-96.415794,,,,,,self-storage,C,15,No website found
Maintenance and Vehicle Storage,Independent,Blinn College,Washington,,Brenham,TX,,30.1593213,-96.4106647,,,,,,self-storage,C,15,No website found
