Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
American Self Storage,Independent,American Self Storage,Hill,,,TX,,31.9639908,-97.3248713,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Hill,,,TX,,32.1597892,-97.150904,866-882-8842,,,,,self-storage,C,40,
Sun Valley Storage,Independent,"Sun Valley Storage, LLC",Hill,,,TX,,31.8645272,-97.0145246,,,,,,self-storage,C,15,No website found
