Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Blue Sky Self Storage,Independent,Blue Sky Self Storage,Kendall,Interstate 10 West,Boerne,TX,78006,29.7435285,-98.6904062,,,,,,self-storage,C,15,No website found
John's Road Mini-Storage,Independent,John's Road Mini-Storage,Kendall,Interstate 10 West,Boerne,TX,78006,29.7965878,-98.7513086,,,,,,self-storage,C,15,No website found
Attic Pantry Mini Storage,Chain,Attic Pantry Mini Storage,Kendall,Interstate 10 West,Boerne,TX,78006,29.7650149,-98.7154302,,,,,,self-storage,C,0,No website found; Chain-managed
American Eagle RV Storage,Independent,American Eagle RV Storage,Kendall,Interstate 10 West,Boerne,TX,78006,29.7660331,-98.7155087,,,,,,self-storage,C,15,No website found
Morningstar Storage,Independent,Morningstar Storage,Kendall,Interstate 10 West,Boerne,TX,78006,29.8194066,-98.7570161,,,,,,self-storage,C,15,No website found
Bergheim Storage,Independent,Bergheim Storage,Kendall,State Highway 46 East,Boerne,TX,78006,29.828064,-98.5620184,,,,,,self-storage,C,15,No website found
Lockaway Storage,Independent,Lockaway Storage,Kendall,River Road,Boerne,TX,78006,29.7897875,-98.6950819,,,,,,self-storage,C,15,No website found
