Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Self Storage,Independent,Self Storage,Osage,Old River Road,,OK,74604,36.6794388,-97.0498238,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Osage,US Highway 60,,OK,74604,36.6809565,-97.0525396,,,,,,self-storage,C,15,No website found
United Spaces Storage,Independent,United Spaces Storage,Osage,West W.C. Rogers Boulevard,Skiatook,OK,74070,36.3694897,-96.0306514,,,https://unitedspaces.net,,,self-storage,C,40,
