Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
El Reno Mini Storage,Chain,El Reno Mini Storage,Canadian,East Elm Street,El Reno,OK,73036,35.5221962,-97.951768,405-262-3334,,,,,self-storage,C,0,Chain-managed
All Storage,Independent,All Storage,Canadian,,,OK,,35.472071,-97.7252111,,,,,,self-storage,C,15,No website found
