Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Lake Loc-Up,Independent,Lake Loc-Up,Marshall,,,OK,,33.9971311,-96.6997156,,,,,,self-storage,C,15,No website found
Texoma Boat & RV Storage,Independent,Texoma Boat & RV Storage,Marshall,,,OK,,33.9975714,-96.6926828,,,,,,self-storage,C,15,No website found
Texoma Mini Storage,Chain,Texoma Mini Storage,Marshall,,,OK,,33.9975503,-96.6919586,,,,,,self-storage,C,0,No website found; Chain-managed
Texoma RV & Boat Storage,Independent,Texoma RV & Boat Storage,Marshall,Golden Oakes Road,Gordonville,OK,76245,33.8442436,-96.8372724,,,,,,self-storage,C,15,No website found
Texoma Mini-Storage,Independent,Texoma Mini-Storage,Marshall,,,OK,,33.9974262,-96.6919959,,,,,,self-storage,C,15,No website found
