Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
U-LOK-IT Mini Storage,Chain,U-LOK-IT Mini Storage,Washington,,,OK,,36.7601228,-95.9373953,,,,,,self-storage,C,0,No website found; Chain-managed
Click Storage,Independent,Click Storage,Washington,,,OK,,36.7667287,-95.936413,,,,,,self-storage,C,15,No website found
Avondale Mini Storage,Chain,Avondale Mini Storage,Washington,,,OK,,36.7542146,-95.9335984,,,,,,self-storage,C,0,No website found; Chain-managed
Acorn Storage,Independent,Acorn Storage,Washington,,,OK,,36.7270085,-95.9019704,,,,,,self-storage,C,15,No website found
Gentry RV Storage,Independent,Gentry RV Storage,Washington,,,OK,,36.6979033,-95.9367599,,,,,,self-storage,C,15,No website found
Countryside RV and Boat Storage,Independent,Countryside RV and Boat Storage,Washington,,,OK,,36.6870319,-95.9365031,,,,,,self-storage,C,15,No website found
