Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Storage Mart,Chain,Storage Mart,Wyandotte,,,KS,,39.0693064,-94.6107481,,,,,,self-storage,C,0,No website found; Chain-managed
428 Patch Track Storage,Independent,428 Patch Track Storage,Wyandotte,,,KS,,39.1321047,-94.6081885,,,,,,self-storage,C,15,No website found
Enginemen Locker Room,Independent,Enginemen Locker Room,Wyandotte,,,KS,,39.0771198,-94.6550303,,,,,,self-storage,C,15,No website found
