Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Lakin Street Mini Storage,Chain,Lakin Street Mini Storage,Osage,,,KS,,38.6364591,-95.8226003,,,,,,self-storage,C,0,No website found; Chain-managed
Combes Mini Storage,Chain,Combes Mini Storage,Osage,,,KS,,38.638745,-95.8099644,,,,,,self-storage,C,0,No website found; Chain-managed
