Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Boehm Storage Field Road,Independent,Boehm Storage Field Road,Morton,,,KS,,37.1840307,-101.8684225,,,,,,self-storage,C,15,No website found
Boehm Storage Lateral,Independent,Colorado Interstate Gas Company,Morton,,,KS,,37.1829747,-101.9463487,,,,,,self-storage,C,15,No website found
