Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Indoor Container Storage Unit,Independent,Indoor Container Storage Unit,Los Alamos,Mesita del Buey,,NM,,35.8450199,-106.2653628,,,,,,self-storage,C,15,No website found
Longview Self-Storage,Independent,Longview Self-Storage,Los Alamos,Longview Drive,White Rock,NM,87547,35.8251799,-106.2103989,,,,,,self-storage,C,15,No website found
Graphic Floor Storage Building,Independent,U.S. Department of Energy,Los Alamos,,,NM,,35.8722871,-106.3165936,,,,,,self-storage,C,15,No website found
Storage Building,Independent,Storage Building,Los Alamos,,,NM,,35.839143,-106.3390597,,,,,,self-storage,C,15,No website found
Office & Lockers,Independent,Office & Lockers,Los Alamos,,,NM,,35.894949,-106.3912006,,,,,,self-storage,C,15,No website found
