Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Sunrise II Self Storage,Independent,Sunrise II Self Storage,McKinley,,,NM,,35.5088073,-108.814323,,,,,,self-storage,C,15,No website found
Aztec Self Storage,Independent,Aztec Self Storage,McKinley,,,NM,,35.5529435,-108.7599201,,,,,,self-storage,C,15,No website found
Zia Storage Reservoir Dam,Independent,Zia Storage Reservoir Dam,McKinley,,,NM,,35.5333605,-107.7589477,,,,,,self-storage,C,15,No website found
Kerr McGee Storage Dam,Independent,Kerr McGee Storage Dam,McKinley,,,NM,,35.4033639,-107.8272816,,,,,,self-storage,C,15,No website found
Defiance storage track,Independent,Defiance storage track,McKinley,,,NM,,35.4980229,-108.8779641,,,,,,self-storage,C,15,No website found
