Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Stor-All,Independent,Stor-All,Orleans,Chef Menteur Highway,,LA,,30.0068095,-90.0354519,,,,,,self-storage,C,15,No website found
TCI Cold Storage,Independent,TCI Cold Storage,Orleans,,,LA,,29.9921374,-90.0283551,,,,,,self-storage,C,15,No website found
Locker Room,Independent,Locker Room,Orleans,,,LA,,29.9457552,-90.0621931,,,,,,self-storage,C,15,No website found
Foot Locker,Independent,Foot Locker,Orleans,South Carrollton Avenue,New Orleans,LA,70118,29.9651337,-90.1118356,,,,,,self-storage,C,15,No website found
