Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Dixie Storage,Independent,Dixie Storage,St. Landry,South Bullard Street,Opelousas,LA,70570,30.5342755,-92.0983809,,,,,,self-storage,C,15,No website found
Washington Storage Field Compressor Station,Independent,"Transcontinental Gas Pipe Line Company, LLC",St. Landry,,,LA,,30.6701659,-92.0210602,,,,,33000 hp,self-storage,C,15,No website found
