Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Simpson's Mini Storage,Chain,Simpson's Mini Storage,Union,,,LA,,32.7188847,-92.2198754,,,,,,self-storage,C,0,No website found; Chain-managed
Eagle Point Boat and RV Storage,Independent,Eagle Point Boat and RV Storage,Union,Eagle Point Drive,Farmerville,LA,71241,32.7645794,-92.3898011,,,,,,self-storage,C,15,No website found
