Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
LaPlace Self Storage,Independent,LaPlace Self Storage,St. John the Baptist,,,LA,,30.075075,-90.5122109,,,,,,self-storage,C,15,No website found
St. John Mini Storage,Chain,St. John Mini Storage,St. John the Baptist,,,LA,,30.0593169,-90.4717048,,,,,,self-storage,C,0,No website found; Chain-managed
